cs1_pe,cs2_bottom_pe
5.8303031686152735,1073.3908203322057
7.854810558378404,1038.843868166673
9.62948232584722,1234.6643012229324
9.676154100680947,1390.5856450694407
12.00692192846168,935.636042844928
13.040451933170061,1487.7289413942942
13.108961796785252,1076.9486845181882
13.586904347013615,1374.5162051303237
15.639937883094035,1357.313413463124
16.60644605295238,1855.7057204923751
19.39857329771371,2270.229285030238
19.476503480298106,1928.4089164687466
20.17763066097359,1279.9274355274226
20.328489916350236,2020.5864247406726
20.369308191545997,1301.1627477768363
21.228683568828274,1585.719832805532
23.30437522812531,2300.803806192253
24.648014002832497,2575.555795859758
25.63408643341336,1858.2772702566976
25.743017133228477,1484.7051061625918
26.690639108740697,1063.6077458792734
31.207061635394894,1605.4455923197097
32.575522618791865,1678.0396695310576
32.636905419021105,1337.2878554070865
33.3327708373065,1506.0936632552541
33.34439741611686,2408.573115483882
35.62308748578516,2420.323848274267
35.9096529784606,1724.7638414992941
36.082595754364775,2035.1918314557686
36.51543484815875,2780.6976957515235
37.9780000481378,1700.7647348761286
38.97605288869818,2191.524540334759
39.970314869700815,2045.709001227096
40.04577810735054,2622.7261614412087
40.473714915502796,2129.984658720589
40.475708010046446,2696.77265358725
40.61359111353681,2409.0883161325387
40.80661726482617,2967.421852379111
42.96625500805658,2449.348639470065
43.96217842074884,2008.9869460176867
44.159790648076296,1916.2738184622986
48.14576010620931,2392.7275765105983
48.58737483336881,3090.140888056625
49.28159388160566,2271.9732575767557
50.24128235490616,2658.6270836874723
50.643283101478346,2088.234116427462
50.648872548991676,2339.809582251497
52.210685572799775,3440.2805361861633
52.40549592217394,3058.804702684971
53.71892458756156,3177.668765994909
53.83023745713831,2600.0075228114233
54.273321925720666,2475.048904154897
54.467435937473965,3696.7320045262504
54.56975604735362,2418.265208610347
55.200989387864865,3184.4022310427335
56.24605363124374,3236.514794822649
60.53356642996164,2440.4266443233946
61.532034430456406,2481.2026212799833
62.96506583126302,2615.4977078827023
63.27087930108746,3219.517874015447
64.60078740164136,3186.720202927873
68.03733634260425,960.0017169162907
68.98625534910434,3061.401610348541
