,bias,s2
0,-0.03117369784537582,49.99999999999999
1,-0.031374728329553715,58.904548749954635
2,-0.031677271746462135,69.39491726871569
3,-0.03204319185935544,81.75352574508264
4,-0.03243771236920166,96.31309085463789
5,-0.032828296240250784,113.46558311011651
6,-0.03318499943401239,133.67277943503782
7,-0.03348027199058889,157.47869505546248
8,-0.03368952691025825,185.5242293994747
9,-0.03379108653057212,218.56442029918242
10,-0.033765474026850005,257.48877101037544
11,-0.033596063376243816,303.3451972909312
12,-0.033268719229482505,357.3682392377655
13,-0.03277216788809842,421.01229739732844
14,-0.032097692773095106,495.99078792742694
15,-0.031239204644953687,584.322270939991
16,-0.030193283293383236,688.3847938853777
17,-0.028959156374275236,810.9799130029738
18,-0.027538698277135266,955.4081164143533
19,-0.025936434275084186,1125.557679388633
20,-0.024159539616700663,1326.0093439286716
21,-0.02221783371895068,1562.159640846837
22,-0.020123784826193092,1840.3661743894818
23,-0.017892515196634137,2168.1187807418564
24,-0.015541791888854227,2554.2411683180167
25,-0.013092029338432409,3009.1284683665954
26,-0.010566297044223232,3545.0270911955313
27,-0.007990306246933103,4176.364422264744
28,-0.005392420010205025,4920.137234177392
29,-0.0028036504917572456,5796.369271341387
30,-0.00025765796427311074,6828.650326329359
31,0.0022092483421951867,8044.771320873224
32,0.004558110238007553,9477.472489052281
33,0.006747321408816147,11165.324805154687
34,0.008732625766377306,13153.76838588622
35,0.010467119392754264,15496.33582264095
36,0.011901249126865823,18256.093378208454
37,0.012982813108973635,21507.33884760809
38,0.013656960716434225,25337.601792614496
39,0.013866192543271427,29849.99999999999
